Id,name,author,relicTime,imageUrl,description,realUrl
59.29,Chariot Group of Three Horses and Rider,,1100–750 BCE,,"Gift of Dr. and Mrs. Henry R. Hope, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=59.29
60.38,River Scene with Ferry,"Esaias van de Velde (Dutch, 1587–1630)",Ca. 1615–1630,,"Gift of Emile E. Wolf, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=60.38
59.28,"Male Head, likely a God",,1–100 CE,,"Gift of Dr. and Mrs. Henry R. Hope, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=59.28
59.39,Mask (Isi Mwuo),,Late 19th–early 20th century,,"Gift of Frederick Stafford, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=59.39
59.40,Female Figure,,1200–900 BCE,,"Gift of Frederick Stafford, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=59.40
59.42,Head of a Man,,1300–1200 BCE,,"William Lowe Bryan Memorial, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=59.42
59.17,Figure (Sukia),,1000–1550,,"Gift of Frederick Stafford, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=59.17
60.71,Mirror,,25–221,,"Gift of James and Marvelle Adams in honor of William Lowe Bryan, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=60.71
60.24,Mountain Landscape,"Tani Bunchō (Japanese, 1763–1840)",18th century,,"William Lowe Bryan Memorial, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=60.24
60.25,Fête Galante,"Philip Mercier (French, ca. 1690–1760)",18th century,,"Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=60.25
60.72,"Ko, Dagger Axe",,1600–1045 BCE,,"Gift of James and Marvelle Adams in honor of William Lowe Bryan, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=60.72
61.107,Woven Band,,Ca. 800,,"Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=61.107
60.28,Head of a Woman from a Relief,,200–300 CE,,"Burton Y. Berry Collection, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=60.28
61.108,Embroidered Textile Fragment,,Ca. 600,,"Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=61.108
61.110,Pin,"Harry Bertoia (American, 1915–1978)",20th century,,"Gift of Dr. and Mrs. Henry R. Hope, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=61.110
60.32,Portrait of a Merchant,Unknown,Mid 17th century,,"Gift of Dr. and Mrs. Henry R. Hope, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=60.32
61.113,Majolica Plate,,Unknown,,"Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=61.113
61.114,"Plate with Fish, Frogs, and Insects",,Unknown,,"Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=61.114
60.51,Vase,Unknown,13th century,,"Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=60.51
60.37,"Mountain Landscape with Travelers (Paysage Avec Pecheurs, Chasseurs et Animaux (from 1928 Glück catalogue), L'Etang dans la vallee, Landschap met visschers, jagers en dieren (in 1932 Kunstzaal Kleykamp catalogue))",,Ca. 1660s,,"Gift of Frederick Stafford, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=60.37
60.55,Bowl,,10th–11th century,,"Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=60.55
60.50,Maebyong Vase with Chrysanthemums,Unknown,12th century,,"Gift of James and Marvelle Adams in honor of William Lowe Bryan, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=60.50
60.58,Goat Pitcher (Aquamanile),Unknown,12th–early 14th century,,"Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=60.58
60.59,Gourd-Shaped Cup or Ladle with Striped Decoration,,1600 BCE–1050 BCE,,"Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=60.59
60.7,Power Figure,,19th–mid 20th century,,"Gift of Frederick Stafford, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=60.7
60.65,Model of a Farm Shed,Unknown,206 BCE–220 CE,,"Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=60.65
60.73,Ritual Wine Vessel (Jue),,1300–1045 BCE,,"Gift of James and Marvelle Adams in honor of William Lowe Bryan, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=60.73
59.55,Chalice,,1500-1533,,"Gift of Frederick Stafford, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=59.55
61.13,"Haniwa, Male Figure Haniwa",Unknown,3rd–early 8th century,,"Gift of Frederick Stafford, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=61.13
59.57,Pendant Amulet,,19th–mid 20th century,,"Gift of Frederick Stafford, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=59.57
59.59,Three Buildings (Block for p. 116),"Georges Rouault (French, 1871–1958)",Ca. 1932,,"Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=59.59
59.61,Corinthian Cup (Skyphos) with Animals,,620–580 BCE,,"Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=59.61
61.17,"Bishamônten, Guardian of the North (Bishamônten)",Unknown,12th–mid 14th century,,"Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=61.17
61.14,Bull,,Ca. 1570,,"Gift of Herman B Wells, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=61.14
59.54,Wedding Ring in the Form of a Synagogue,,Ca. 1700,,"Gift of Frederick Stafford, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=59.54
59.66,Bowl,,17th century,,"Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=59.66
59.43,Offering Tray,,2008–1630 BCE,,"Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=59.43
61.28,Madame L.,"Wilhelm Lehmbruck (German, 1881–1919)",Ca. 1910,,"Gift of Dr. and Mrs. Henry R. Hope, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=61.28
59.50,Still Life,"Pieter Boel (Flemish, 1622–1674)",17th century,,"Gift of Emile E. Wolf, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=59.50
59.51,Scene of an architectural stage set,Unknown,18th century,,"William Lowe Bryan Memorial, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=59.51
