collectID,relationship,collectYear
712,藏品年代,中华人民共和国
713,藏品年代,中华人民共和国
714,藏品年代,中华人民共和国
715,藏品年代,中华人民共和国
716,藏品年代,中华人民共和国
717,藏品年代,中华人民共和国
718,藏品年代,中华人民共和国
719,藏品年代,中华人民共和国
720,藏品年代,中华人民共和国
721,藏品年代,中华人民共和国
722,藏品年代,中华人民共和国
723,藏品年代,中华人民共和国
724,藏品年代,中华人民共和国
725,藏品年代,中华人民共和国
726,藏品年代,中华人民共和国
727,藏品年代,中华人民共和国
728,藏品年代,中华人民共和国
729,藏品年代,中华人民共和国
730,藏品年代,中华人民共和国
731,藏品年代,中华人民共和国
732,藏品年代,中华人民共和国
733,藏品年代,中华人民共和国
734,藏品年代,中华人民共和国
735,藏品年代,中华人民共和国
736,藏品年代,中华人民共和国
737,藏品年代,中华人民共和国
738,藏品年代,中华人民共和国
739,藏品年代,中华人民共和国
740,藏品年代,中华人民共和国
741,藏品年代,中华人民共和国
742,藏品年代,中华人民共和国
743,藏品年代,中华人民共和国
744,藏品年代,中华人民共和国
745,藏品年代,中华人民共和国
746,藏品年代,中华人民共和国
747,藏品年代,中华人民共和国
748,藏品年代,中华人民共和国
749,藏品年代,中华人民共和国
750,藏品年代,中华人民共和国
751,藏品年代,中华人民共和国
752,藏品年代,中华人民共和国
753,藏品年代,中华人民共和国
754,藏品年代,中华人民共和国
755,藏品年代,中华人民共和国
756,藏品年代,中华人民共和国
757,藏品年代,中华人民共和国
758,藏品年代,中华人民共和国
759,藏品年代,中华人民共和国
760,藏品年代,中华人民共和国
761,藏品年代,中华人民共和国
762,藏品年代,中华人民共和国
763,藏品年代,中华人民共和国
764,藏品年代,中华人民共和国
765,藏品年代,中华人民共和国
766,藏品年代,中华人民共和国
767,藏品年代,中华人民共和国
768,藏品年代,中华人民共和国
769,藏品年代,中华人民共和国
770,藏品年代,中华人民共和国
771,藏品年代,中华人民共和国
772,藏品年代,中华人民共和国
773,藏品年代,中华人民共和国
774,藏品年代,中华人民共和国
775,藏品年代,中华人民共和国
776,藏品年代,中华人民共和国
777,藏品年代,中华人民共和国
778,藏品年代,中华人民共和国
779,藏品年代,中华人民共和国
780,藏品年代,中华人民共和国
781,藏品年代,中华人民共和国
782,藏品年代,中华人民共和国
783,藏品年代,中华人民共和国
784,藏品年代,中华人民共和国
785,藏品年代,中华人民共和国
786,藏品年代,中华人民共和国
787,藏品年代,中华人民共和国
788,藏品年代,中华人民共和国
789,藏品年代,中华人民共和国
790,藏品年代,中华人民共和国
791,藏品年代,中华人民共和国
792,藏品年代,中华人民共和国
793,藏品年代,中华人民共和国
794,藏品年代,中华人民共和国
795,藏品年代,中华人民共和国
796,藏品年代,中华人民共和国
797,藏品年代,中华人民共和国
798,藏品年代,中华人民共和国
799,藏品年代,中华人民共和国
800,藏品年代,中华人民共和国
801,藏品年代,中华人民共和国
802,藏品年代,中华人民共和国
803,藏品年代,中华人民共和国
804,藏品年代,中华人民共和国
805,藏品年代,中华人民共和国
806,藏品年代,中华人民共和国
807,藏品年代,中华人民共和国
808,藏品年代,中华人民共和国
809,藏品年代,中华人民共和国
810,藏品年代,中华人民共和国
811,藏品年代,中华人民共和国
812,藏品年代,中华人民共和国
813,藏品年代,中华人民共和国
814,藏品年代,中华人民共和国
815,藏品年代,中华人民共和国
816,藏品年代,中华人民共和国
817,藏品年代,中华人民共和国
818,藏品年代,中华人民共和国
819,藏品年代,中华人民共和国
820,藏品年代,中华人民共和国
821,藏品年代,中华人民共和国
822,藏品年代,中华人民共和国
823,藏品年代,中华人民共和国
824,藏品年代,中华人民共和国
825,藏品年代,中华人民共和国
826,藏品年代,中华人民共和国
827,藏品年代,中华人民共和国
828,藏品年代,中华人民共和国
829,藏品年代,中华人民共和国
830,藏品年代,中华人民共和国
831,藏品年代,中华人民共和国
832,藏品年代,中华人民共和国
833,藏品年代,中华人民共和国
834,藏品年代,中华人民共和国
835,藏品年代,中华人民共和国
836,藏品年代,中华人民共和国
837,藏品年代,中华人民共和国
838,藏品年代,中华人民共和国
839,藏品年代,中华人民共和国
840,藏品年代,中华人民共和国
841,藏品年代,中华人民共和国
842,藏品年代,中华人民共和国
843,藏品年代,中华人民共和国
844,藏品年代,中华人民共和国
845,藏品年代,中华人民共和国
846,藏品年代,中华人民共和国
